object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
potteryshardsofancientchimor,potteryshardsofancientchimor,potteryshardsofancientchimor,,,,,,,,,,,,
chimucomparisongoddessvessel01,chimucomparisongoddessvessel01,chimucomparisongoddessvessel01,,,,,,,,,,,,
mapkingdomchimorc1300,-Map_KingdomChimor-c1300,-Map_KingdomChimor-c1300,,,,,,,,,,,,
chimucomparisongoddesssvessel02,chimucomparisongoddesssvessel02,chimucomparisongoddesssvessel02,,,,,,,,,,,,
modifieddsc04490114dsc044901,ModifiedDSC_0449_01_14DSC_0449_01,ModifiedDSC_0449_01_14DSC_0449_01,,Ava Colette,,,,2026,,,UCSB AD&A Museum.,Courtesy of UCSB Material/Image Research Lab 2026,,
modifieddsc045320dsc0453,ModifiedDSC_0453_20DSC_0453,ModifiedDSC_0453_20DSC_0453,,Ava Colette,,,,2026,,,UCSB AD&A Museum 2026,Courtesy of UCSB Material/Image Research Lab 2026,,
modifieddsc045118dsc0451,ModifiedDSC_0451_18DSC_0451,ModifiedDSC_0451_18DSC_0451,,Ava Colette,,,,2026,,,UCSB AD&A Museum 2026,Courtesy of UCSB Material/Image Research Lab 2026,,
alberschanchanperu1953,Albers-ChanChanPeru-1953,Albers-ChanChanPeru-1953,,,,,,1953,,,"Albers, Josef (German-American painter, theorist, 1888-1976). Chan-Chan, Peru. 1953. Photo collage, 10 x 8"" (25.4 x 20.32 cm). The Josef and Anni Albers Foundation. https://jstor.org/stable/community.9174973.",Courtesy of The Josef and Anni Albers Foundation,,
detailofchanchangeneralc1250-ad,Detail_of_-ChanChan_general-c1250 AD,Detail_of_-ChanChan_general-c1250 AD,,,,,,Accessed 2026,,,Chan Chan: General View. c.1250 A.D. Visual Arts Legacy Collection. Artstor. https://jstor.org/stable/community.18117881.,Courtesy of JSTOR Visual Arts Legacy Collection 2026,,
artwaterdrawingvicusfig3,art-water-drawing-vicus-fig3,art-water-drawing-vicus-fig3,,,,,,,,,"Katelynmariah. “Peruvian Whistling Vessels.” Unleashing My wild creativity!, July 19, 2015. https://shiftdiva.wordpress.com/2015/07/19/peruvian-whistling-vessels/","Courtesy of Katelyn Mariah, BFA MA.",,
